c_text	c_thembez	c_tatsache	c_meinung	c_begruend	c_loes	c_zusw	c_frage	c_anrede	c_respekt	c_beznutzer	c_bezmedium	c_bezinhalt	c_bezpers	c_bezform	c_story	c_schrei	c_vulg	c_beleid	c_sarkzy	c_diskrim	c_luegenv	c_droh	c_gewalr	c_verwünsch	c_quali	c_text_en
Marcel Sten, nein, es gibt immer mehr Dumme, die sich so äußern, wie Sie es tun. Und Videos vom Höcke teilen.. 🤐	0	1	3	0	0	0	0	0	0	3	0	3	3	3	0	0	1	3	3	0	0	0	0	0	2	Marcel Sten, no, there are more and more idiots who speak the way you do, and share videos of the hump.
"Es wäre an der Zeit darüber nachzudenken die Sendung in ""Zart ohne Flair"" umzubenennen, wenn ich mir die eingeladenen Gäste und ihren Hintergrund anschaue. Ich vermisse gerade in Bezug auf den Corona Impfstoff auch kritische Stimmen. So wird das dann ein Kuschelkurs oder wenn man es etwas deftiger ausdrückt zu einer Werbesendung für die Impfung, hart und fair geht anders."	2	0	3	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	"It would be time to think about renaming the show ""Tender ohne Flair"" when I look at the invited guests and their background. I also miss critical voices, especially with regard to the Corona vaccine. So it becomes a cuddle course or if you put it a bit more heartily to a commercial for the vaccination, hard and fair goes differently."
Glückwunsch an die Gewinnerin 🍀🍀🍀🙃	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	Congratulations to's winner
"Was sollen eigentlich dauernd diese unseligen Vergleiche der Folgen der Corona Pandemie auf Psyche und Physis mit denen der Kriegsgeneration? Das ist wohl kaum angebracht, aber immerhin vergleicht ihr mit dem schrecklichsten Erlebnis. Es ist FALSCH, dass der Krieg nichts mit den Menschen gemacht hat. Es stimmt einfach nicht, dass es alles ""gewuppt"" wurde. Die Folgen bei den Überlebenden waren und sind weitreichend bis in nächste Generationen hinein. Die Traumata sitzen tief. Und sind meist unbearbeitet. Und zeigen sich oft in unterschiedlichster Form. Damals gab es kaum Psychologen und Traumatherapeuten erst recht nicht. Also kompensierte man. Mit Süchten ....hauptsächlich Alkohol. Aber auch viel Psychopharmaka. Eine komplexe PTBS war dann eben schon mal einfach ""Schizophrenie"" und wurde entsprechend stigmatisiert und mit Tabletten zugedröhnt. In der Kriegskindergeneration gibt es unfassbar viele Alkoholiker. Die entsprechend in ihren Familien agiert haben. Empathie und Mitgefühl konnte man sich nicht leisten (sieht man auch gut hier bei den älteren Herrschaften) und brachte auch das seinen Kindern bei. Mit entsprechenden Folgen für die kommenden Generationen. Wo wir beim jetzt sind. Es wurde vieles unterdrückt und die Folgen haben so manche Familie zerstört und vieles an Gewalt in Familien gebracht. Ein Drama. Viele alte Menschen sind in den Altersheimen erst von ihren Traumata übermannt worden...oft am Lebensende...schrecklich ist das. Also sagt nicht : es wurde alles gut verarbeitet. Nichts wurde es. Und bedenkt: wenn Ihr über die Jugend schimpft, so schimpft Ihr über Euch. Denn Ihr alle steckt in der Jugend von heute. So war es immer. Und so wird es immer sein. Die Jugend ist inner das Ergebnis der vorigen Generationen. Wenn Ihr sagt, sie sollen sich schämen, so sage ich: Schämt Ihr Euch! Was wird Corona mit der Jugend machen? Viel....das steht fest. Anders als mit Bomben...die heutige Bombardierung ist medialer Natur. Entziehung unmöglich. Und Hirnforscher prognostizieren nichts gutes..... Wir alten haben nicht mehr solange. Ich bin aus der älteren Generation."	2	3	3	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"What are these unfortunate comparisons of the consequences of the Corona pandemic on psyche and physique with those of the war generation? That is hardly appropriate, but at least you compare it with the most terrible experience. It is WRONG, that the war has done nothing with people. It is simply not true, that it was all ""upped."" The consequences with the survivors were and are far reaching into next generations. The traumas sit deep. And are mostly unprocessed. And often show themselves in the most varied form. At that time there were hardly psychologists and trauma therapists even more not. So they compensated. With addictions.... mainly alcohol. But also a lot of psychopharmaceuticals. A complex PTSD was just times simply ""Schizophrenia"" and was stigmatized accordingly and with tablets. In the war children generation there are incredibly many alcoho"
War Freitag letzte Woche dort , sehr schön 😍	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	Was there last Friday, very nice.
Daniel Sowa, nein.	2	0	2	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Daniel Sowa, No.
https://ef-magazin.de/2020/09/18/17544-dokumentation-offener-brief-von-aerzten-und-gesundheitsfachleuten-an-alle-behoerden-in-belgien-und-alle-belgischen-medien?fbclid=IwAR1MD1yAPC11QS4krowNava9qM9P40UEQJ7W_EUNEFm8daQrkiIiPJhzYYU	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	https: / / ef-magazin.de / 2020 / 09 / 18 / 17544-documentation-open-letter-from-doctors-and-health-professionals-to-all-authorities-in-belgium-and-all-belgium-media? fbclid = IwAR1MD1yAPC11QS4krowNava9qM9P40UEQJ7W _ EUNEFm8daQrkiIiPJhzYYU
Es gibt über 8000 freie Intensivbetten, aber keine Krankenschwester , die daneben steht!! ⚠️ ⚠️ ⚠️	3	3	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	There are over 8000 free ICU beds, but no nurse standing next to them!! ️ ️ ️ ️
Erzwungene, minderwertige Dienstleistungen in einem korrupten System mit Preisfixierungen und -absprachen, sind Sozialismus. Natürlich.	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Forced, inferior services in a corrupt system with price fixing and collusion are socialism. Of course.
Lydia Naleppa Genau, korrupt, rechts und kriminell wie viele bei der AfD und PIS.	1	3	1	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	Lydia Naleppa Exactly, corrupt, right and criminal like many in the AfD and PIS.
